codigo item;descricao item
15006100;CYBERBOND 5100 LQ FRA 20 G
15006103;CYBERBOND 2075 CLEAR LQ FRA 20 G
15006108;2003 LQ CB L 20000 G
15006184;CYBERBOND H2 LQ FRA 20 G
15006187;CYBERBOND H3 LQ FRA 20 G
15006194;CYBERBOND H4 LQ FRA 20 G
15006195;CYBERBOND H7 LQ FRA 20 G
15006206;CYBERBOND H1 CLEAR LQ FRA 20 G
15006207;Cyberbond 2240-50 LQ CAR 454 G
15006217;CYBERBOND 2243 PRETO LQ FRA 454 G
15006253;5008 LQ B RD-N SM-N L 2000 G
15006297;CYBERBOND Z396 LQ FRA 0.05 KG
15006309;CYBERBOND 2611 INCOLOR LQ FRA 0.02 KG
15006317;CYBERBOND 2611 LQ FRA 100 G
15006502;CYBERBOND 5248 LQ FRA 10.00 G
15006512;CYBERBOND 5248 LQ FRA 5.00 G
15006593;CYBERBOND 6001H COLORLESS LAT 42 G
15006609;CYBERBOND 6995-3 LQ CN RD- A QT L 1500 G
15006614;CYBERBOND BLAST 6001 FRA 126 G
15006616;CYBERBOND 6003 COLORLESS LAT 135 G
15006618;6906 LQ CN RD-A QT L LATA 1,250 KG
15006638;CYBERBOND 6070 LQ FRA 44 G
15006711;U305 LQ B RD-A C-AM L 1000 G
15006861;CYBERBOND 7242 AZUL LQ FRA 55 G
15006864;CYBERBOND 7243 AZUL LQ FRA 55 G
15006873;CYBERBOND 7271 VERMELHO LQ FRA 55 G
15006875;CYBERBOND 7277 VERMELHO LQ FRA 55 G
15006879;CYBERBOND 7290 VERDE LQ FRA 55 G
15006921;CYBERBOND 7262 VERMELHO LQ FRA 55 G
15006923;CYBERBOND 7222 ROXO LQ FRA 55 G
15006976;CYBERBOND PRIMER N LQ LAT 126 G
15007012;CYBERBOND 7518
15007163;CYBERBOND UNDO6020 AMA FRA 63 G
15007176;9066 LQ B RD-N YK-NB UL 500 G
15007291;6906 LQ CN RD-A QT UL LATA 1,250 KG
15007731;HL3204L PE CAI 13.50 KG
15007758;NW1038LZP PI CAI 15.00 KG
15007759;NW1039LZP PI CAI 15.00 KG
15007779;HL7688L PI CAI 10.00 KG
15007790;HS190 CL SAC 25.00 KG
15007819;HMK0075 PE CAI 15.00 KG
15007822;HM240E PE CAI 15.00 KG
15007826;HM 4138ZP PI CAI 15.00 KG
15007829;5000ZP PI CAI 13.50 KG
15007831;HM5919 PI CAI 10.00 KG
15007835;ADVANTRA® PHC9250L PI CAI 12.00 KG
15007837;BRAV 1275 LQ BAL 20.00 KG
15007844;PWC3460ZZL LQ CPP 1000.00 KG
15007874;V7128 LQ TAM 200.00 KG        
15007879;V 7142 LQ TAM 200.00 KG
15007886;A58393 BK CAI 20.00 KG
15007890;BRHM462 PE CAI 15.00 KG
15007892;HM0726 PI SAC 25.00 KG
15007903;WB4967 LQ TIBC 1000.00 KG
15007904;WB-4967 LQ BAL 20.00 KG
15007910;HM 4995 PI SAC 25.00 KG
15007956;BRAS-3910 LQ BAL 20.00 KG
15007957;HM7216A PI CAI 15.00 KG
15007995;IPACOLL® LP 2934 UNI LQ BAL 20.00 KG
15008025;NW1195ZP PI CAI 15.00 KG
15008031;TT5050BL LQ CPL 1000.00 KG
15008050;PHC7590LA PI SAC 25.00 KG
15008060;IPACOLL® LP 2613/3BR LQ CPP 1000.00 KG
15008061;IPACOLL® LP 2613/3BR LQ BAL 20.00 KG
15008065;RAKOLL® HMK4570L BRANCO PE CAI 15.00 KG
15008085;6200LZP PI CAI 15.00 KG
15008094;K4810 PE CAI 15.00 KG
15008109;1201ZP PI CAI 15.00 KG
15008111;FLEXTRA® R 201 LQ  BAL 20.00 KG
15008112;FLEXTRA® R 201 LQ  TAM 200.00 KG
15008120;FLEXTRA® R 406LQ TAM 200.00 KG
15008128;FLEXTRA® SB 109 LQ BAL 20.00 KG
15008136;FLEXTRA® SL 312 LQ BAL 20.00 KG
15008139;FLEXTRA® SL 313 LQ BAL 20.00 KG
15008141;FLEXTRA® SL 313 LQ TAM 200.00 KG
15008219;FLEXTRA®EXP61BR LQ BAL 20.00 KG
15008221;FLEXTRA® EXP 61CH LQ TAM 210.00 KG
15008228;SWIFT®THERM HM-4030CL PI SAC 25.00 KG
15008237;SWIFT®BOND 3U-061LA LQ TAM 200.00 KG
15008253;FLEXTRA® SL 332 LQ BAL 20.00 KG
15008255;FLEXTRA® SL 332 LQ TAM 200.00 KG
15008259;FULL-CARE® 5630LZP PI CAI 13.50 KG
15008263;FLEXTRA® EXP 61CH LQ TAM 200.00 KG
15008296;FLEXTRA® SB 101-AR LQ TAM 200.00 KG
15008352;NW1002LZP PI CAI 15.00 KG
15008354;5255LZP PI BX 15.00 KG
15008359;1706LA CL BG 25.00 KG
15008366;V-3845 LQ CPP 1000.00 KG
15008404;K4810BL BRANCO PE CAI 15.00 KG
15008408;PHC7268 PI SAC 25.00 KG
15008719;FLEXTRA® R 406 LQ  BAL 20.00 KG
15008756;8515LZP PI CAI 15.00 KG
15008771;PHL4150ZP PI CAI 15.00 KG
15008861;CABLEGEL SD TAM 160.00 KG
15008872;HL-1126XLZP PI BX 15KG
15008884;HM 1674 PI CAI 20.00 KG
15008885;HM1674 PI BX 13 KG
15008886;HM1952 PI BX 20 KG
15008914;HM4016 PI SAC 25.00 KG
15008930;BRHM1717 PI CAI 15.00 KG
15008940;HL3195L PI SAC 25.00 KG
15008958;HM2080LA PI CAI 10.00 KG
15008967;8600LZP PI CAI 15.00 KG
15008974;FLEXTRA® R 202 LQ  BAL 20.00 KG
15008976;FLEXTRA® R 206 LQ  BAL 20.00 KG
15008977;FLEXTRA® R 406 LQ  CPL 1.100 KG
15008978;FLEXTRA® SB 101 LQ TAM 200.00 KG
15008981;FLEXTRA® R 403 LQ BAL 19.00 KG
15008982;FLEXTRA® R 403 LQ CPL 1.000 KG
15008983;FLEXTRA® R 403 LQ TAM 190.00 KG
15008986;FLEXTRA® EXP 61BR LQ TAM 200.00 KG
15008992;HM5232 LC PI CAI 10.00 KG
15008993;SWIFT®BOND 3U-061LA LQ BAL 20.00 KG
15008999;FLEXTRA® SL 332 LQ CPL 1.100 KG
15009002;FULL CARE® 5945 PI CAI 15.00 KG
15009007;FLEXTRA® R 408 LQ BAL 20.00 KG
15009025;BR412CL PI SAC 25.00 KG
15009027;X-530/01 PI CAI 15.00 KG
15009028;FULL CARE® 9100F PI CAI 15,00 KG
15009030;PHC8010 PI SAC 25.00 KG
15009048;ISARCOL 5109 LQ LAT 25.00 KG
15009049;ISA VERDUNNER 111 LQ LAT 9.00 KG
15009055;RAKOLL® TE 5707 NAT PE SAC 25.00 KG
15009057;K4570NAT PE BG 25KG
15009067;RAKOLL® K4581LV PE BG 25 KG
15009068;PRIMER04 INC LQ BAL 23.25 KG
15009070;IPACOLL® WB 1373 LQ BAL 30.00 KG
15009091;SWIFT®THERM 2097 PE SAC 13.00 KG
15009092;2914 SD 7x2.5 CARTONPAIL CS 17.5KG
15009121;JM5782ALZP PI CAI 15.00 KG
15009179;NW1263ZP PI CAI 15.00 KG 
15009182;FLEXTRA® XAS 2020 LQ TAM 200.00 KG
15014464;MP-5401 LQ C SG-N-12OZ L CAR 340.8 ML
15014477;ASI MP 5405-BLACK LQ A+B CAR 400 ML
15014524;MP-54750 LQ C DL-W 50ML 56 G
15014527;MP-54750 LQ C DL-W 400ML 448 G
15014537;MP55420 PARTE B LQ BAL 18.50 KG
15014539;MP-55420 LQ C DL-W 490ML
15014545;MP55320 PARTE A + PARTE B CAR 490 ML
15014551;MP-55300 LQ C DL-W 400ML 448 G
15014558;MP-55310-WHITE LQ C DL-W 400ML 448 G
15014727;RP100 LQ B OV-N-C-B L 56.8 G
15014732;ASI® RP1000 R LQ FRA 28.4 G
15014734;ASI® RP1000 R LQ FRA 113.6 G
15014804;ASI® SI30 R LQ FRA 28.40 G
15014806;ASI SI-30 LQ FRA 454,5 G
15014812;SI1000 R LQ B OV-N-C-B L 56.8 G
15014817;SI120 LQ B OV-N-C-B L 20 G
15014856;ASI SI GEL LQ FRA 20 G
15014885;TORQUE 43 TL LQ B OV-R-A-W L 50 G
15015028;MP55420 PARTE A LQ BAL 18.5 KG
15015035;MP 55420 FLSG  PART A + B CAR 490 ML
15015073;MP55310 PARTE A LQ BAL 18.50 KG
15015074;MP55310 PARTE B LQ BAL 17.50 KG
15015093;MP-55305-A LQ PS5P 18.5 KG
15015094;MP-55305-B LQ PS5P 18.5 KG
15015250;SI1000 T LQ B RD-W-C-W L 2000 G
15015348;MP55300 PARTE A LQ BAL 18,50 KG
15015350;MP55300 PARTE B LQ BAL 17,50 KG
15015728;MP55420 PARTE A LQ TAMBOR 182.5 KG
15016085;RP100 BLUE LQ B OV-N-C-B L 28.4 G
15019002;TEC 159 ALL SEASON LQ PARTE A + B BAL 16.50 KG
15019443;NP2075LT SD 10x2 PBAG CS 20 KG
15019502;Fullrez WB-2532 LQ BAL 28.00 KG
15019554;MS1937 BRANCO LQ CAR 310 ML
15019555;MS1937 PRETO LQ CAR 310 ML
15019556;MS 1937 BLK LQ 600ML X 20
15020145;TEC SEAMING TAPE F 30CM X 100M
15022133;XR2990 LQ BAL 25.00 KG
15022175;Full-Care® 5189AAZP PI CAI 15.00 KG
15022305;THERMONEX® 063-05A LQ BAL 25.00 KG
15022397;LUNAMELT PS 4015ZP CAI 15.00 KG
15022399;ADVANTRA® 9275 SAC 25 KG
15022448;KORAPOP 225 GR 12 SSG 600ML CS10.4KG
15022472;Swift®col 2607-3 LQ TAM 18.00 KG
15022475;HG83 LQ 10x0,76 1LBTL CS 7.6 KG
15022480;CIL89ET LQ 25L-MBU 24 Kg
15022495;8068EZP PI CAI 15.00 KG
15022514;KPOP225WHITE 600ML-SSG BX 10.32 KG
15022520;CIL 12E LQ 10L-MBU 9.83 Kg
15024176;267-9 CU FT, FAST 2K DECK POST & POLE ANCHOR (KIT A+B)
15024232;267-1 CU FT, FAST 2K, DECK POST & POLE ANCHOR - 2 KITS/CS
15024236;267-3 CU FT, FAST 2K, DECK POST & POLE ANCHOR - 1 KIT/CS
15024340;DECK POST ANCHOR LQ BG 12/CS 13.41KG
15026077;PS4015ZP PI BX HT 15 KG
15026253;Ipacoll® LP2741PM LQ BAL 30.00 KG
15026716;N1482 LQ 25BU 25 KG
15026887;C20A LQ 10BU 9,15 KG
15027168;VERDUNNER330 LQ 12LCAN 9 KG
15027292;2603 LQ TIBC3F 1050 KG
15027386;2498 LQ 25BU 20 KG
15027451;3582 LQ 18X30 30BU 30 KG
15027513;TEC® 540 LQ BAL 20.00 KG
15027774;2914 SD 20BU HT 20 KG
15027858;2500 LQ 1LBTL 1 KG
15027865;HDR004B LQ 1LCAN 1,375 KG
15027931;15063 LQ 12LCAN 10,32 KG
15028107;5728 LQ 30BU 30 KG
15028119;9110 PR 40X13 BG 13KG
15028136;SWIFT®BOND 2139/1 LINER LQ TAM 320.00 KG
15028267;Ipacoll® 2900 LQ BAL 30.00 KG
15028275;9255LP PR BG HT 25 KG
15028297;4654 SD PBAG HT 19 KG
15028305;ADVANTRA SMART 9410 PE SAC 25.00 KG
15028349;WL LQ 1LBTL 0,76 KG
15028381;HG92 LQ 1LBTL 0,91 KG
15028453;PR262 LQ 5LRC 4 KG
15028550;5730 LQ 30BU 30.00 KG
15028636;9612 PI BX 12 KG
15028666;Swift®lock 2020 SD BAL 20.00 KG
15028710;CLB HARDENER100B LQ 20x1 MBTL CS 20KG
15028790;THERMONEX® 063-05A LQ BAL 20.00 KG
15028799;9135 PR 40X13 BG EPHT 13 KG
15028947;2511 LQ 25BU 20 KG
15035341;CHILDERS® CP-70 LQ BAL 18,9 L
15035365;3016 LQ PT5P 30.4 KG
15035426;Foster® 6038 WH LQ BAL 19.96 KG
15035430;FOSTER® 60-90 LQ 24.05 KG
15035462;Foster® CRYOLAR 9061 LQ BAL 21.09 KG
15040030;KCU TH 240 LQ 0.82L-BTL 1KG
15040207;GD 826 N LQ 0.6L-SSG 0.83KG
15040244;KPO Transparent LQ 310ML-CT 0.33KG
15040248;KPO 223 BK LQ 310ML-CT 0.49KG
15040539;KPO 223 BK LQ MPAIL 28KG
15040876;KÖRAFLEX VP 990 BK LQ 0.6L-SSG 0.84KG
15040983;CIL 10E LQ 25L-MDR 23.48KG
15040993;CIL 12E LQ 200L-MDR 196.6KG
15040994;CIL 12E LQ 25L-MDR 24.58KG
15041030;CIL 36 LQ 10L-MDR 8.4KG
15041034;CIL 36 LQ 5L-MTHCAN 4.2KG
15041036;CIL 4000 LQ 10L-MDR 8.3KG
15041062;CIL 49SF LQ 25L-MDR 22.88 Kg
15041077;CIL 62W LQ 25L-MDR 27.73KG
15041088;CIL 80ET LQ 10L-MDR 9.52KG
15041090;CIL 80ET LQ 200L-MDR 190.4KG 200L
15041091;CIL 80ET LQ 25L-MDR 23.8 Kg
15041117;CIL 89ET LQ 200L-MDR 192KG
15041118;CIL 89ET LQ 25L-MDR 24KG
15041239;CIL R-7035 LQ 25L-MDR 23.85KG
15041804;KPU 925 MARINE BK LQ SSG 0.86KG
15042001;KOT GM 600 LQ 1L-MCAN 1KG
15042093;SWB 2139 2 W LQ MPAIL 40KG
15042094;SWH 2111 BL LQ MPAIL 30KG
15042372;Swift®col 2035 LQ TAM 10.00 KG
15042594;INL L1145/8 GELB 20 YW LQ PBU 23KG
15042713;HMT 15782 HV LQ PBU 15KG
15043133;INL 1383 LQ MCAN 22KG
15043565;SFA 8202 LQ MPAIL 25KG
15043597;XRS 1292 LQ MPAIL 25KG
15043652;Swift®bond 2139/1 LQ BAL 30.00 KG
15043760;9115 PE 40X13 BG 13KG
15043853;TMX hardener 004B BK LQ BTL 1.375KG
15043854;TMX hardener 004B BK LQ MCAN 1.1KG
15045705;KPU 840 20 TK LQ CT 346ML 0.54KG
15045706;KPU 840 02 TK LQ 365ML-CT 0.54KG
15045707;KPU 840 45 TK LQ 372ML-CT 0.54KG
15045790;TMX hardener 004B BK LQ NDR 60KG
15045799;KOT GM 503 LQ MCAN 8.7KG
15045951;2139/2 W LQ MDR 320KG
15052750;42321 LQ PPAIL 23.59KG
15052771;57774 LQ PPAIL 18.14KG B
15055147;CYBERBOND 1284 5G - COSMETIC GRADE-
16000001;ADHM-100 LQ SAC 10.00 KG
16000002;ADHM-200B LQ BOM 4.00 KG
16000005;ADHM-200 LQ BOM 4.00 KG
16000008;ADHM-400 LQ BOM 4.00 KG
16000016;ADHMPUR-695 LQ BOM 4.00 KG
16000022;APLICADOR AP-NDK  CAI 1 UN
16000025;BR-412 PE SAC 25.00 KG
16000028;BR-530S PE SAC 25.00 KG
16000029;BR-530 PE SAC 25.00 KG
16000030;BR-615 PE SAC 25.00 KG
16000032;BR-7093 PE SAC 25.00 KG
16000034;BR-717 PE SAC 25.00 KG
16000036;BR-733 PE SAC 25.00 KG
16000038;BR-734S PE SAC 25.00 KG
16000040;BR-747 PE SAC 25.00 KG
16000043;BR-750 PE SAC 10.00 KG
16000044;BR-750 PE SAC 25.00 KG
16000046;BR-767 PE SAC 25.00 KG
16000048;BR-780FZ PE SAC 20.00 KG
16000049;BR-780FZ PE SAC 25.00 KG
16000050;BR-780FZ PE SAC 05.00 KG
16000052;BRAS-3847AN LQ BAR 10.00 KG
16000055;C-067 LQ BAR 50.00 KG
16000056;C-07F LQ BAR 10.00 KG
16000058;C-07 LQ BAR 10.00 KG
16000059;C-07 LQ BAR 50.00 KG
16000061;C-08 LQ BAR 50.00 KG
16000064;C-1011/1 LQ BAL 30.00 KG
16000068;C-1014 LQ BAL 32.00 KG
16000074;C-1015 LQ BAL 32.00 KG
16000076;C-1016/1 LQ BAL 32.00 KG
16000081;C-1018 LQ BAL 32.00 KG
16000083;C-1019 LQ BAL 33.00 KG
16000084;C-1022 LQ BAL 33.00 KG
16000086;C-1026 LQ BAL 33.00 KG
16000088;C-1027 LQ BAL 32.00 KG
16000090;C-1027 LQ CPL 1000.00 KG
16000092;C-1029/2 LQ BAL 30.00 KG
16000096;C-1029/3 LQ BAL 32.00 KG
16000100;C-1029/4 LQ BAL 30.00 KG
16000103;C-1029/5 LQ BAL 30.00 KG
16000105;C-1029 LQ BAL 30.00 KG
16000107;C-1038 LQ BAL 30.00 KG
16000112;C-1090 LQ BAR 10.00 KG
16000113;C-1090 LQ BAR 50.00 KG
16000116;C-1091 LQ BAR 10.00 KG
16000117;C-1091 LQ BAR 50.00 KG
16000119;C-111/5 LQ BAR 10.00 KG
16000122;C-111 LQ BAR 10.00 KG
16000124;C-112 LQ BAR 50.00 KG
16000130;C-119 LQ BAR 50.00 KG
